統計期,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
97年 1月,322,17,8,20,50,35,35,16,6,11,16,11,19,7,33,4,10,1,1,7,6,0,0,5,4
97年 2月,281,16,9,10,35,28,43,13,6,6,15,12,19,9,22,8,8,0,3,4,0,1,0,12,2
97年 3月,274,20,6,19,29,25,30,9,5,12,21,12,16,15,19,6,6,2,2,4,4,1,0,8,3
97年 4月,286,22,9,16,24,42,25,5,9,10,18,5,19,24,21,8,7,1,2,3,2,1,0,9,4
97年 5月,321,27,10,18,37,24,32,6,15,9,24,17,24,12,28,10,8,0,2,5,4,0,0,8,1
97年 6月,267,15,6,28,29,25,38,4,7,10,12,8,19,11,14,6,10,0,3,2,1,1,0,16,2
97年 7月,251,21,6,15,22,28,31,10,3,10,19,3,21,12,18,6,8,1,0,4,1,0,0,9,3
97年 8月,259,23,11,21,25,26,29,6,12,2,21,12,13,14,18,3,2,1,2,6,4,0,0,7,1
97年 9月,283,24,10,19,29,33,32,8,9,3,29,13,14,11,17,6,7,0,2,6,1,0,0,9,1
97年 10月,322,30,17,18,24,33,32,13,7,13,30,19,15,12,23,8,9,1,3,2,5,0,0,8,0
97年 11月,301,23,12,23,36,35,37,11,13,9,19,7,13,9,19,3,11,0,1,4,2,0,0,11,3
97年 12月,307,23,11,19,31,37,34,13,12,12,22,14,19,8,23,7,9,0,4,1,1,0,0,7,0
98年 1月,318,34,17,16,39,28,31,4,9,8,25,12,18,15,21,8,9,1,1,6,1,1,0,10,4
98年 2月,252,26,12,8,26,24,34,6,4,12,20,7,14,13,19,7,5,2,2,1,2,1,0,5,2
98年 3月,236,14,6,17,26,21,38,11,1,7,12,14,10,7,17,5,12,0,5,7,1,1,0,3,1
98年 4月,249,22,11,14,25,33,22,7,5,5,23,7,19,7,22,5,6,1,4,4,4,1,0,2,0
98年 5月,273,10,11,16,24,39,35,8,8,13,16,4,18,11,24,10,5,2,3,2,5,1,0,4,4
98年 6月,261,19,7,15,35,20,34,13,6,10,26,12,12,4,19,11,8,1,3,0,1,0,0,4,1
98年 7月,266,17,15,23,23,31,38,11,9,5,11,3,19,9,19,6,7,1,2,3,3,0,0,10,1
98年 8月,262,23,12,17,25,30,22,6,15,6,22,2,12,18,16,1,14,0,0,5,3,0,0,8,5
98年 9月,264,18,8,16,24,20,37,7,9,6,21,11,15,15,14,5,14,1,4,5,5,0,0,9,0
98年 10月,302,26,9,13,30,33,31,7,6,6,28,11,16,16,20,4,7,1,5,3,5,1,0,22,2
98年 11月,266,17,16,18,26,22,39,7,11,6,19,9,17,16,17,3,7,0,4,5,2,0,0,4,1
98年 12月,283,28,9,25,15,39,41,14,5,13,12,6,10,17,18,4,5,1,3,6,3,1,0,6,2
99年 1月,322,23,14,22,34,27,48,8,12,9,20,15,17,12,26,5,6,1,7,2,1,0,0,12,1
99年 2月,252,21,7,10,30,20,32,9,5,9,16,10,16,13,12,8,6,0,3,6,5,0,0,11,3
99年 3月,280,13,24,13,29,34,44,10,7,11,20,8,10,7,29,2,6,0,0,2,2,1,0,5,3
99年 4月,260,21,15,21,28,24,33,7,4,9,19,6,8,8,20,7,8,2,4,5,4,0,0,7,0
99年 5月,234,19,10,11,20,22,38,6,9,7,19,6,13,8,18,4,10,0,1,2,6,0,0,4,1
99年 6月,251,25,9,16,32,26,30,6,2,7,17,4,12,8,22,8,4,1,0,5,3,1,0,10,3
99年 7月,277,19,8,24,31,37,21,12,7,8,18,9,18,13,22,6,7,1,1,2,1,0,0,9,3
99年 8月,263,19,15,24,29,19,30,3,15,7,19,6,19,5,23,8,7,0,1,2,3,0,0,3,6
99年 9月,298,18,6,20,36,27,30,7,13,12,26,7,25,9,23,7,10,1,6,1,3,2,0,7,2
99年 10月,272,28,15,12,34,28,20,11,6,12,20,11,17,15,18,4,4,0,2,2,3,1,0,5,4
99年 11月,261,20,15,22,36,20,18,10,9,7,14,8,13,13,20,9,6,1,3,3,3,1,0,9,1
99年 12月,327,29,14,32,34,35,44,4,9,14,25,7,22,12,22,9,7,0,1,1,2,1,0,2,1
100年 1月,289,22,21,19,33,29,28,11,8,11,17,8,13,8,33,4,8,2,1,5,1,0,0,5,2
100年 2月,226,14,10,7,29,19,29,7,11,8,11,8,15,10,19,7,7,0,3,4,1,1,0,5,1
100年 3月,246,24,14,15,27,29,21,6,6,13,19,5,11,13,12,10,5,1,0,4,4,0,0,5,2
100年 4月,302,21,11,17,36,42,29,14,8,11,17,5,22,9,21,10,10,1,3,1,1,0,0,9,4
100年 5月,268,16,7,12,35,25,37,7,10,12,12,12,20,10,21,5,2,2,5,4,0,1,0,12,1
100年 6月,260,15,11,15,21,28,35,14,8,13,19,8,12,13,17,4,3,0,3,7,2,2,0,9,1
100年 7月,263,24,8,11,35,21,28,6,8,7,17,9,18,15,22,4,7,4,2,6,1,1,0,5,4
100年 8月,286,18,11,17,32,21,32,10,15,15,19,8,17,9,19,9,9,2,5,8,3,2,0,3,2
100年 9月,277,22,13,16,29,33,35,8,12,7,16,9,14,14,18,6,4,1,3,5,2,0,0,7,3
100年 10月,270,26,8,18,36,29,25,8,9,8,19,6,16,7,15,6,11,1,5,6,2,0,0,4,5
100年 11月,334,35,12,28,35,33,40,9,9,8,20,15,23,8,25,9,5,0,1,4,4,1,0,5,5
100年 12月,322,27,14,20,34,37,34,4,6,7,35,15,22,6,26,4,6,0,3,3,2,1,0,12,4
101年 1月,290,25,10,15,28,24,33,6,6,8,27,12,19,14,21,2,9,1,5,6,1,0,0,15,3
101年 2月,245,27,14,11,28,19,28,7,11,6,17,9,15,12,14,3,4,0,5,4,1,2,0,4,4
101年 3月,278,20,10,16,38,28,39,7,4,12,25,6,11,8,29,6,6,0,1,4,3,0,0,4,1
101年 4月,241,22,4,19,17,21,44,9,3,7,19,7,15,12,21,4,3,1,1,0,0,1,0,8,3
101年 5月,260,21,9,14,31,23,38,5,10,9,18,9,14,12,15,10,5,0,1,7,1,1,0,6,1
101年 6月,256,19,13,12,31,28,32,9,10,8,21,7,17,7,15,6,7,0,1,4,4,1,0,3,1
101年 7月,244,16,11,14,35,21,30,10,10,4,14,13,13,9,13,5,7,1,2,1,4,1,0,9,1
101年 8月,299,24,11,22,39,29,43,7,7,11,19,6,27,7,22,5,7,0,2,2,3,1,0,4,1
101年 9月,268,19,9,14,24,22,34,11,8,12,22,12,21,15,17,6,4,0,2,7,2,2,0,4,1
101年 10月,277,23,14,19,30,27,34,13,7,7,18,11,17,13,21,4,4,0,1,5,0,1,0,7,1
101年 11月,277,19,13,19,33,23,32,6,8,9,25,10,16,8,21,9,6,2,2,4,4,0,0,6,2
101年 12月,284,17,12,20,36,23,30,8,27,11,14,9,16,10,20,3,8,1,2,2,5,0,0,9,1
102年 1月,267,13,10,19,30,33,36,6,8,10,30,6,15,11,10,3,5,0,5,6,2,0,0,8,1
102年 2月,254,15,8,18,20,32,34,11,10,6,19,7,10,12,23,6,9,0,1,2,1,0,0,7,3
102年 3月,265,32,12,11,22,26,30,15,7,8,19,8,13,8,22,11,6,3,0,6,0,2,0,3,1
102年 4月,226,13,11,15,24,19,27,8,6,9,15,6,11,5,21,5,10,0,1,5,2,1,0,11,1
102年 5月,229,22,9,10,16,26,31,7,3,5,22,12,16,9,18,8,2,0,1,1,2,1,0,8,0
102年 6月,251,12,13,18,24,22,27,7,4,9,25,7,17,5,25,11,8,2,3,1,3,0,0,4,4
102年 7月,277,13,12,15,34,30,30,5,12,5,17,7,28,17,23,7,8,0,0,5,0,2,0,7,0
102年 8月,237,17,13,15,27,20,30,5,6,2,16,13,17,9,22,3,5,0,1,7,1,0,0,6,2
102年 9月,249,18,8,20,23,15,33,3,10,10,23,7,19,11,16,5,6,1,3,8,4,0,0,5,1
102年 10月,273,16,11,17,32,31,36,3,3,12,17,8,24,9,20,6,9,1,3,3,4,0,0,5,3
102年 11月,260,25,18,15,27,28,28,4,9,8,19,7,13,11,23,7,4,0,4,2,2,0,0,6,0
102年 12月,284,27,15,18,29,29,33,5,4,9,25,13,9,10,23,5,10,0,5,2,3,0,0,7,3
103年 1月,325,23,10,21,24,31,40,15,11,16,29,7,17,15,19,11,11,0,8,7,1,0,0,5,4
103年 2月,200,15,7,13,20,20,14,4,7,6,15,5,14,11,25,2,8,0,1,7,3,0,0,3,0
103年 3月,236,19,11,20,26,19,36,6,13,5,20,10,13,4,11,9,3,0,4,3,0,0,0,4,0
103年 4月,234,20,10,21,33,26,24,3,3,9,21,7,12,3,16,4,4,0,3,2,2,2,0,7,2
103年 5月,223,14,7,20,16,17,35,10,5,10,16,15,11,6,9,5,6,2,3,0,0,0,0,15,1
103年 6月,230,17,12,20,16,20,35,4,5,5,17,4,10,9,22,6,8,1,2,6,3,0,0,6,2
103年 7月,277,18,11,16,35,32,32,9,11,2,22,11,15,12,13,6,11,1,1,1,3,1,0,11,3
103年 8月,265,19,14,16,26,27,30,5,6,8,24,6,15,10,24,3,11,3,3,6,1,0,0,6,2
103年 9月,268,16,12,12,30,30,43,4,6,6,26,10,14,13,18,5,8,1,0,8,2,0,0,4,0
103年 10月,282,23,12,18,31,23,38,8,8,10,15,17,16,11,22,3,7,2,1,5,2,1,0,8,1
103年 11月,249,19,20,24,20,28,20,10,8,6,18,8,17,11,19,2,5,0,4,3,0,0,0,5,2
103年 12月,286,16,12,20,25,17,40,8,9,11,34,8,11,11,19,8,14,1,5,7,2,0,0,8,0
104年 1月,232,22,12,16,28,17,20,10,6,5,15,12,7,12,15,7,6,1,5,6,2,1,0,5,2
104年 2月,219,17,10,17,24,21,30,8,9,7,13,2,12,10,12,3,11,1,2,0,1,1,0,6,2
104年 3月,251,23,12,13,30,31,30,5,6,9,18,6,14,13,15,7,4,1,1,3,1,0,0,8,1
104年 4月,226,20,7,13,18,22,28,11,4,5,12,8,19,6,31,4,5,0,1,1,1,2,0,8,0
104年 5月,213,11,8,15,16,19,33,6,4,5,14,10,17,8,13,4,5,2,3,5,1,2,0,11,1
104年 6月,263,14,11,27,16,23,39,3,7,10,20,11,22,8,28,1,6,1,2,2,2,0,0,7,3
104年 7月,243,16,14,12,21,25,32,7,5,5,17,11,14,6,15,6,4,1,5,4,3,0,0,19,1
104年 8月,254,16,11,10,19,35,31,5,5,9,12,12,25,9,21,5,9,2,3,1,2,0,0,9,3
104年 9月,241,15,8,16,26,18,35,9,8,9,18,7,15,10,18,5,5,1,3,4,3,2,0,6,0
104年 10月,255,12,17,20,16,24,40,6,8,8,23,6,13,16,21,8,5,1,0,4,0,0,0,5,2
104年 11月,266,23,11,25,31,28,18,6,11,3,16,10,17,11,15,7,4,1,3,7,4,1,0,12,2
104年 12月,279,23,16,19,30,26,28,7,16,4,28,6,14,9,25,6,6,1,3,4,1,0,0,7,0
105年 1月,278,30,15,12,30,28,31,5,6,8,17,8,22,9,27,7,8,0,1,3,0,0,0,9,2
105年 2月,231,25,17,20,17,20,27,5,6,7,12,5,13,8,17,9,6,2,2,3,1,0,0,8,1
105年 3月,226,21,10,15,17,25,36,9,3,3,14,10,8,7,19,5,5,0,4,1,3,0,1,8,2
105年 4月,235,27,9,9,21,27,29,4,4,7,19,10,18,7,19,2,7,1,0,5,1,1,0,8,0
105年 5月,235,16,14,11,27,17,31,4,5,11,18,7,17,13,21,3,9,2,3,1,2,0,0,3,0
105年 6月,234,15,12,15,21,18,35,5,12,9,9,4,12,9,24,11,6,2,2,4,2,0,0,7,0
105年 7月,227,20,10,20,17,24,21,7,9,9,27,9,15,11,5,4,6,0,1,1,1,1,0,9,0
105年 8月,217,12,10,18,20,20,27,10,10,11,17,8,15,5,13,7,3,1,1,1,2,0,0,3,3
105年 9月,205,24,15,20,17,22,18,3,5,5,21,8,8,6,14,2,3,2,3,2,0,0,0,7,0
105年 10月,253,24,14,15,23,28,30,5,9,11,13,8,7,13,24,7,5,0,1,4,0,1,0,9,2
105年 11月,266,28,18,24,29,23,26,9,10,8,17,11,19,6,12,5,4,1,2,3,3,1,0,6,1
105年 12月,240,24,13,24,20,17,18,2,12,9,17,10,13,15,14,3,10,5,4,3,0,1,0,3,3
106年 1月,233,20,7,16,25,17,19,4,12,7,26,8,14,11,17,5,9,2,1,2,1,1,0,7,2
106年 2月,229,15,6,20,12,25,19,3,1,7,16,10,16,5,11,4,9,2,5,2,1,1,0,39,0
106年 3月,173,17,7,15,15,17,19,3,5,5,12,8,11,4,9,4,11,0,2,4,2,0,0,3,0
106年 4月,222,25,8,15,16,16,26,8,7,8,14,8,12,8,21,6,4,1,5,2,2,2,0,8,0
106年 5月,204,25,5,13,22,20,21,4,8,9,12,2,11,8,11,2,5,1,3,7,4,2,0,9,0
106年 6月,214,23,9,16,23,16,30,2,5,7,12,7,14,9,16,5,6,1,2,1,2,1,0,6,1
106年 7月,243,16,18,16,17,16,30,3,10,6,20,11,12,9,18,7,8,3,2,4,0,1,0,13,3
106年 8月,240,20,7,25,11,27,26,9,5,6,15,10,15,3,28,7,9,0,2,3,2,1,0,8,1
106年 9月,225,20,6,23,20,23,24,3,8,3,17,6,13,11,15,4,5,1,1,3,1,1,0,14,3
106年 10月,245,27,12,14,17,19,32,4,11,14,17,7,19,7,24,3,4,1,0,6,0,1,0,6,0
106年 11月,215,22,8,21,18,24,28,8,6,6,14,8,12,7,10,3,4,1,2,1,1,0,0,10,1
106年 12月,254,26,13,19,21,26,15,7,8,7,18,4,16,13,23,5,8,2,5,4,2,1,0,8,3
107年 1月,252,27,11,16,22,28,25,8,4,7,24,7,17,7,25,3,4,2,2,2,2,2,0,6,1
107年 2月,183,15,12,20,15,21,16,5,5,5,11,3,15,8,14,4,4,1,2,2,1,0,0,3,1
107年 3月,240,19,9,21,21,30,26,4,5,8,11,10,14,13,22,5,8,0,4,0,1,0,0,7,2
107年 4月,234,20,8,21,20,23,23,8,7,3,17,8,13,13,20,6,6,0,1,3,2,1,0,10,1
107年 5月,226,27,12,18,17,25,18,6,9,11,14,6,20,7,16,2,3,1,3,4,1,0,0,5,1
107年 6月,225,8,7,16,19,24,16,10,4,11,27,7,12,10,14,7,5,1,5,8,0,0,0,11,3
107年 7月,235,21,12,26,31,15,23,6,7,6,22,5,15,10,17,3,6,1,1,3,1,1,0,2,1
107年 8月,235,23,15,23,17,19,26,11,10,7,8,3,18,14,12,5,5,0,3,4,1,0,0,11,0
107年 9月,230,21,11,22,22,26,23,6,11,4,14,7,11,12,9,5,4,2,2,5,2,2,0,8,1
107年 10月,234,25,14,11,21,32,28,5,8,6,12,6,11,7,13,1,2,0,4,12,1,1,0,12,2
107年 11月,232,21,14,22,20,23,23,7,5,3,17,12,14,9,14,6,6,2,4,2,2,1,0,5,0
107年 12月,254,21,12,28,20,23,33,6,6,8,19,9,12,12,23,4,3,0,3,3,3,1,0,4,1
108年 1月,299,27,17,25,30,31,31,9,5,10,21,9,22,10,15,3,7,2,7,5,1,1,0,11,0
108年 2月,208,13,9,14,23,18,30,7,6,9,15,4,12,7,11,7,1,0,7,7,3,0,0,5,0
108年 3月,228,13,9,24,16,22,34,9,5,5,12,7,18,8,22,5,3,0,0,2,5,0,0,9,0
108年 4月,212,24,16,19,17,23,24,4,4,5,15,4,9,9,11,4,6,0,2,5,1,0,0,8,2
108年 5月,227,22,9,15,29,22,34,5,9,7,15,4,13,8,11,5,1,2,1,4,1,2,0,7,1
108年 6月,246,20,7,21,18,27,31,8,5,7,21,7,13,13,17,6,5,0,3,4,2,1,0,10,0
108年 7月,222,14,15,22,20,24,22,7,4,9,28,7,13,7,11,4,1,1,0,4,1,0,1,6,1
108年 8月,224,11,10,27,19,18,26,12,5,7,13,7,14,8,14,9,8,1,1,3,0,0,0,10,1
108年 9月,215,19,10,18,26,21,25,2,7,5,13,15,12,8,14,3,4,1,1,3,3,0,0,3,2
108年 10月,278,25,9,22,29,34,36,7,9,4,24,5,10,16,19,5,5,1,2,7,3,0,2,4,0
108年 11月,220,22,11,21,15,28,22,2,11,8,11,8,17,11,11,5,5,0,1,4,1,0,0,5,1
108年 12月,286,15,9,21,28,26,36,11,11,10,33,11,9,14,19,6,3,1,0,4,2,1,0,12,4
109年 1月,278,24,8,23,27,32,29,7,9,4,16,10,17,19,28,4,6,0,0,3,2,2,0,6,2
109年 2月,265,27,7,29,33,25,40,8,8,8,15,4,6,6,13,13,5,0,2,7,3,1,0,5,0
109年 3月,223,18,6,21,27,23,25,9,5,8,13,5,19,8,14,6,6,1,2,3,2,0,0,2,0
109年 4月,216,12,8,16,32,19,28,7,8,7,13,9,14,10,13,2,6,0,1,5,2,0,0,2,2
109年 5月,237,12,14,20,31,22,25,6,7,8,23,5,14,9,19,4,2,4,2,4,2,0,0,2,2
109年 6月,269,20,9,33,16,26,31,6,10,10,18,10,10,10,19,7,14,0,2,8,3,1,0,6,0
109年 7月,245,15,11,16,28,23,35,12,5,5,26,6,10,10,16,4,5,1,4,4,1,0,0,7,1
109年 8月,226,22,3,13,22,24,16,3,5,7,21,8,23,10,19,3,11,1,2,3,3,0,0,5,2
109年 9月,232,17,7,17,25,31,32,6,4,11,18,7,12,13,14,2,2,1,2,1,1,0,0,9,0
109年 10月,261,20,11,27,24,27,30,5,9,16,14,5,11,15,14,5,10,1,3,4,2,2,0,5,1
109年 11月,242,24,9,18,23,27,24,5,10,6,11,8,18,8,19,10,2,0,3,3,3,2,0,9,0
109年 12月,278,21,9,31,37,38,32,4,11,7,17,5,11,7,28,1,5,2,2,3,3,0,0,3,1
110年 1月,276,30,14,18,28,31,31,12,6,14,18,4,14,6,18,8,5,1,4,3,1,0,0,7,3
110年 2月,269,25,9,20,18,31,38,8,8,14,15,9,21,10,15,5,8,1,2,1,1,0,0,9,1
110年 3月,227,14,11,18,36,21,28,13,4,10,14,4,9,13,18,3,3,2,0,2,0,0,0,4,0
110年 4月,221,15,12,21,24,23,24,11,5,10,17,8,8,9,14,2,6,1,1,4,0,1,0,4,1
110年 5月,275,21,10,21,22,37,33,7,9,9,19,12,18,16,14,4,5,0,2,4,2,0,0,9,1
110年 6月,207,17,9,23,23,28,20,6,8,2,5,5,12,10,10,3,3,1,3,4,4,0,0,10,1
110年 7月,217,22,7,22,26,18,16,8,4,6,15,5,7,8,24,10,4,0,3,2,2,0,0,8,0
110年 8月,215,21,10,25,13,16,15,6,8,13,20,4,11,10,13,5,9,1,1,4,1,1,0,7,1
110年 9月,250,19,13,32,22,23,29,6,3,13,21,9,11,15,14,4,4,2,2,3,0,0,0,5,0
110年 10月,254,21,9,16,30,21,32,7,12,10,19,7,15,10,20,6,3,0,8,2,4,0,0,2,0
110年 11月,263,25,15,24,20,18,26,13,14,11,16,10,13,9,18,2,5,2,3,10,1,1,0,7,0
110年 12月,288,34,11,24,18,26,38,3,12,8,22,4,13,8,28,5,6,1,3,5,5,2,0,7,5
111年 1月,265,22,13,29,28,24,23,7,11,8,25,9,9,9,21,8,5,1,0,5,0,1,0,6,1
111年 2月,211,16,7,19,22,20,30,5,12,4,12,8,7,12,11,0,6,0,4,5,2,0,0,9,0
111年 3月,256,28,9,14,27,33,43,4,5,5,19,5,11,11,22,5,3,0,0,2,1,0,0,8,1
111年 4月,236,25,8,23,23,25,31,6,8,5,23,4,16,9,13,1,4,2,2,4,3,1,0,0,0
111年 5月,258,34,7,16,27,27,27,8,8,6,17,6,17,9,18,3,10,1,3,4,3,0,0,7,0
111年 6月,249,25,4,26,15,23,26,9,7,7,28,2,16,7,19,9,8,1,4,5,3,0,0,4,1
111年 7月,235,27,4,16,24,26,29,12,5,9,13,3,15,8,21,5,5,1,2,2,1,0,0,6,1
111年 8月,263,26,6,19,31,22,32,9,9,6,21,6,11,19,19,4,4,2,3,7,1,1,0,5,0
111年 9月,293,31,15,30,33,21,23,6,12,9,31,12,15,13,16,6,6,2,2,3,1,0,0,6,0
111年 10月,268,27,14,16,21,21,41,4,13,8,21,13,20,11,12,6,4,1,1,5,4,0,0,5,0
111年 11月,260,19,10,22,27,33,34,10,10,4,24,7,16,4,17,5,6,3,1,2,3,0,0,3,0
111年 12月,270,25,10,29,26,31,30,10,3,15,10,7,14,11,24,3,3,0,3,5,5,0,0,6,0
